instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
car-evaluation,5,0,53,0.8379629629629629,0.8333333333333334,0.8148148148148148,1200.306009054184,0.1933701657458564
car-evaluation,5,0.01,53,0.8090277777777778,0.7962962962962963,0.8078703703703703,1200.25399184227,0.23626004125233138
car-evaluation,5,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,79.64680314064026,0.0
hayes-roth,2,0,37,0.675,0.5,0.65,0.9525885581970215,0.0
hayes-roth,2,0.01,37,0.675,0.5,0.65,0.650568962097168,0.0
hayes-roth,2,0.1,37,0.6375,0.5,0.625,0.9577958583831787,0.0
hayes-roth,2,0,42,0.675,0.5,0.625,0.7267940044403076,0.0
hayes-roth,2,0.01,42,0.675,0.5,0.65,0.9466609954833984,0.0
hayes-roth,2,0.1,42,0.6625,0.525,0.525,0.68804931640625,0.0
hayes-roth,2,0,53,0.7,0.55,0.55,0.6881468296051025,0.0
hayes-roth,2,0.01,53,0.7,0.55,0.55,0.8616001605987549,0.0
hayes-roth,2,0.1,53,0.675,0.5,0.55,0.8261616230010986,0.0
hayes-roth,3,0,37,0.7875,0.625,0.65,17.46968984603882,0.0
hayes-roth,3,0.01,37,0.7875,0.625,0.65,24.32946467399597,0.0
hayes-roth,3,0.1,37,0.725,0.525,0.675,9.19147539138794,0.0
hayes-roth,3,0,42,0.8625,0.525,0.825,8.668823480606079,0.0
hayes-roth,3,0.01,42,0.8625,0.525,0.825,8.84166669845581,0.0
hayes-roth,3,0.1,42,0.7125,0.6,0.6,14.344651222229004,0.0
hayes-roth,3,0,53,0.8375,0.625,0.65,10.684435606002808,0.0
hayes-roth,3,0.01,53,0.8375,0.725,0.7,12.918881177902222,0.0
hayes-roth,3,0.1,53,0.725,0.6,0.6,13.48794174194336,0.0
hayes-roth,4,0,37,0.8875,0.825,0.825,1200.1082315444946,0.0140845022812914
hayes-roth,4,0.01,37,0.8875,0.825,0.825,1123.806646823883,0.0
hayes-roth,4,0.1,37,0.775,0.55,0.75,68.8339524269104,0.0
hayes-roth,4,0,42,0.9375,0.55,0.8,364.657675743103,0.0
hayes-roth,4,0.01,42,0.925,0.625,0.875,224.57938504219055,0.0
hayes-roth,4,0.1,42,0.775,0.5,0.75,106.27287936210632,0.0
hayes-roth,4,0,53,0.9375,0.725,0.7,267.6220633983612,0.0
hayes-roth,4,0.01,53,0.9375,0.7,0.7,313.9968912601471,0.0
hayes-roth,4,0.1,53,0.825,0.575,0.675,69.45413422584534,0.0
hayes-roth,5,0,37,0.925,0.75,0.75,1200.5901579856873,0.08108107134160975
hayes-roth,5,0.01,37,0.9,0.85,0.825,1200.3313682079315,0.11370660477709865
hayes-roth,5,0.1,37,0.775,0.55,0.75,449.7188448905945,0.0
hayes-roth,5,0,42,0.975,0.5,0.75,1200.6914083957672,0.025640997257298456
