instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
spect,5,0.01,42,0.902255639,0.746268657,0.731343284,604.5630097,0.869463869
spect,5,0.1,42,0.781954887,0.746268657,0.865671642,12.57128,0.0
spect,5,0.0,53,0.909774436,0.731343284,0.776119403,603.9764209,1.0
spect,5,0.01,53,0.812030075,0.746268657,0.805970149,606.8274012,0.9088
spect,5,0.1,53,0.812030075,0.746268657,0.805970149,11.92891884,0.0
tic-tac-toe,2,0.0,37,0.720250522,0.694560669,0.675,498.6057882,0.0
tic-tac-toe,2,0.01,37,0.720250522,0.694560669,0.675,455.9482791,0.0
tic-tac-toe,2,0.1,37,0.659707724,0.635983264,0.658333333,130.0007658,0.0
tic-tac-toe,2,0.0,42,0.707724426,0.673640167,0.7125,601.6696658,0.235714286
tic-tac-toe,2,0.01,42,0.707724426,0.673640167,0.7125,600.8645175,0.251431549
tic-tac-toe,2,0.1,42,0.691022965,0.677824268,0.7375,244.2509761,0.0
tic-tac-toe,2,0.0,53,0.707724426,0.707112971,0.679166667,601.7210069,0.385714286
tic-tac-toe,2,0.01,53,0.703549061,0.673640167,0.679166667,600.7715766,0.23325246
tic-tac-toe,2,0.1,53,0.665970772,0.635983264,0.645833333,149.7079179,0.0
tic-tac-toe,3,0.0,37,0.739039666,0.682008368,0.733333333,602.615732,1.0
tic-tac-toe,3,0.01,37,0.720250522,0.694560669,0.675,603.3403969,0.950969213
tic-tac-toe,3,0.1,37,0.659707724,0.635983264,0.658333333,602.4788198,0.456441718
tic-tac-toe,3,0.0,42,0.691022965,0.677824268,0.7375,602.5017278,1.0
tic-tac-toe,3,0.01,42,0.722338205,0.736401674,0.8125,602.3125098,0.951714602
tic-tac-toe,3,0.1,42,0.691022965,0.677824268,0.7375,602.3190961,0.598826923
tic-tac-toe,3,0.0,53,0.766179541,0.761506276,0.7625,602.6482494,1.0
tic-tac-toe,3,0.01,53,0.755741127,0.715481172,0.766666667,602.3498578,0.940998767
tic-tac-toe,3,0.1,53,0.665970772,0.635983264,0.645833333,602.6561935,0.470279997
tic-tac-toe,4,0.0,37,0.755741127,0.732217573,0.716666667,606.2190149,1.0
tic-tac-toe,4,0.01,37,0.755741127,0.744769874,0.725,607.079217,0.952409639
